seed question,unseeded question,bm25 score,FK,TCF,,Combined
Waar vind ik een stopwatch met  in te stellen alarm (bv om de 3 minuten) en displayverlichting?,Waar koop ik een 'old school' stopwatch?,20.382.811.069.978.800,0,1,,2
Waar vind ik een stopwatch met  in te stellen alarm (bv om de 3 minuten) en displayverlichting?,Waar kan ik een toastieaparaat kopen met alarm?,1.928.753.852.106.880,0,1,,2
Waar vind ik een stopwatch met  in te stellen alarm (bv om de 3 minuten) en displayverlichting?,Kan ik van een auto met klasse 3 alarm rustig de band vervangen?,179.641.466.655.698,0,0,,0
Waar vind ik een stopwatch met  in te stellen alarm (bv om de 3 minuten) en displayverlichting?,Waar vind ik site's om te oefenen met nederlandse taal?,17.775.880.127.546.700,0,0,,0
Waar vind ik een stopwatch met  in te stellen alarm (bv om de 3 minuten) en displayverlichting?,Waar vind ik 3ds spellen?,17.724.197.155.662.000,0,0,,0
Waar vind ik een stopwatch met  in te stellen alarm (bv om de 3 minuten) en displayverlichting?,Waar vind ik mensen om te interviewen?,1.767.644.039.366.920,0,0,,0
Waar vind ik een stopwatch met  in te stellen alarm (bv om de 3 minuten) en displayverlichting?,Waar vind ik iemand om de belastingaangiftes te verwerken?,17.521.729.354.442.100,0,0,,0
Waar vind ik een stopwatch met  in te stellen alarm (bv om de 3 minuten) en displayverlichting?,Waar in Utrecht vind ik een chille plek om te loungen?,17.484.424.519.038.200,0,0,,0
Waar vind ik een stopwatch met  in te stellen alarm (bv om de 3 minuten) en displayverlichting?,Waar in Utrecht vind ik een chille plek om te loungen?,17.484.424.519.038.200,0,0,,0
Waar vind ik een stopwatch met  in te stellen alarm (bv om de 3 minuten) en displayverlichting?,Waar vind ik een goedkope nintendo 3ds,1.717.026.051.954.130,0,0,,0
Waar vind ik een stopwatch met  in te stellen alarm (bv om de 3 minuten) en displayverlichting?,Waar vind ik bouten met een dikte van ongeveer 3cm en extreme sterktegraad?,1.716.342.656.229.150,0,0,,0
"Een (acute) bult onder de kin van mijn kat, wat kan de oorzaak zijn?","Harde ""bolletjes""onder mijn kin/kaak, wat zijn het?",23.813.400.675.562.800,0,1,,2
"Een (acute) bult onder de kin van mijn kat, wat kan de oorzaak zijn?",wat kan de oorzaak zijn dat mijn kat zo vermagerd?,22.427.566.185.948.900,0,1,,2
"Een (acute) bult onder de kin van mijn kat, wat kan de oorzaak zijn?","verschrikkelijke kramp onder de voeten tijdens het skien, wat kan de oorzaak zijn?",20.619.443.494.046.300,0,0,,0
"Een (acute) bult onder de kin van mijn kat, wat kan de oorzaak zijn?",wat kan deze bult zijn?,20.435.158.345.235.200,0,1,,2
"Een (acute) bult onder de kin van mijn kat, wat kan de oorzaak zijn?","Ik heb een pijnlijke harde bult onder de huid van mijn oksel, wat kan het zijn?",20.172.757.688.799.200,0,2,,4
